seed,env_init,init_mode,sym_var_init,sym_var_final,sym_var_second_half_mean,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged,attractor
22,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,5,1,S=8
23,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
23,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
23,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
23,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
24,5_2_6,current,0.222222,0.222222,0.222222,8,4,6,3,5,8,7,5,4,0,no_conv
24,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
24,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,5,1,S=8
24,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
25,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
25,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
25,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
25,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
26,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
26,5_2_6,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
26,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
26,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
27,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
27,5_2_6,no_update_first_step,0.000000,0.000000,0.008889,8,8,6,3,8,8,7,8,4,1,S=8
27,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
27,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
28,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,1,8,7,0,4,0,no_conv
28,5_2_6,no_update_first_step,0.000000,0.222222,0.311111,8,0,6,3,0,8,7,1,4,0,no_conv
28,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
28,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
29,5_2_6,current,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1,S=0
29,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,7,6,3,8,8,7,8,4,0,no_conv
29,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
29,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
30,5_2_6,current,0.888889,0.222222,0.222222,8,1,6,3,0,8,7,1,4,0,no_conv
30,5_2_6,no_update_first_step,0.000000,0.222222,0.257778,8,7,6,3,6,8,7,7,4,0,no_conv
30,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
30,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
31,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
31,5_2_6,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
31,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
31,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
32,5_2_6,current,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1,S=0
32,5_2_6,no_update_first_step,0.000000,0.222222,0.222222,8,7,6,3,8,8,7,8,4,0,no_conv
32,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
32,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
33,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
33,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
33,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
33,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
34,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
34,5_2_6,no_update_first_step,0.000000,0.222222,0.222222,8,8,6,3,7,8,7,8,4,0,no_conv
34,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
34,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
35,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
35,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
35,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
35,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
36,5_2_6,current,0.888889,0.222222,0.222222,8,0,6,3,0,8,7,1,4,0,no_conv
36,5_2_6,no_update_first_step,0.000000,0.222222,0.240000,8,8,6,3,7,8,7,8,4,0,no_conv
36,8_8_8,current,0.222222,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
36,8_8_8,no_update_first_step,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4,1,S=8
37,5_2_6,current,0.888889,0.000000,0.000000,8,0,6,3,0,8,7,0,4,1,S=0
37,5_2_6,no_update_first_step,0.000000,0.222222,0.222222,8,7,6,3,8,8,7,8,4,0,no_conv
