seed,env_init,schedule,mechanism,sigma,observer,converged,attractor,time_to_sync,sym_var_final,misID_snap,misID_snap_half,misID_snap_post,misID_act,misID_act_post,q_onehot_ok,final_S_A,final_S_B,final_S_C
1,8_8_8,seq_BAC,infer,1.00,memoryless,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
1,8_8_8,seq_BCA,hard,,none,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
1,8_8_8,seq_BCA,infer,0.40,filter,1,S=8,3,0.000000,0.093333,0.000000,0.042553,0.080000,0.035461,1,8,8,8
1,8_8_8,seq_BCA,infer,1.00,filter,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
1,8_8_8,seq_BCA,infer,1.00,memoryless,1,S=8,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
1,8_8_8,seq_CAB,hard,,none,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
1,8_8_8,seq_CAB,infer,0.40,filter,1,S=8,20,0.000000,0.313333,0.066667,0.111111,0.320000,0.122222,1,8,8,8
1,8_8_8,seq_CAB,infer,1.00,filter,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
1,8_8_8,seq_CAB,infer,1.00,memoryless,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
1,8_8_8,seq_CBA,hard,,none,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
1,8_8_8,seq_CBA,infer,0.40,filter,1,S=8,41,0.000000,0.380000,0.386667,0.333333,0.366667,0.333333,1,8,8,8
1,8_8_8,seq_CBA,infer,1.00,filter,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
1,8_8_8,seq_CBA,infer,1.00,memoryless,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
1,8_8_8,sync,hard,,none,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
1,8_8_8,sync,infer,0.40,filter,1,S=8,37,0.000000,0.173333,0.013333,0.000000,0.173333,0.000000,1,8,8,8
1,8_8_8,sync,infer,1.00,filter,1,S=8,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,8,8,8
