seed,env_mode,env_init,mechanism,sigma,sym_var_init,sym_var_final,sym_var_second_half_mean,collective_var_final,pairwise_dist_final,real_var_final,imag_var_final,converged,attractor,time_to_sync,misID_rate,misID_second_half,misID_post_sync,misID_run_mean,belief_lag,kl_belief,H_belief,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C
3,isolated,5_2_6,infer,0.70,0.888889,0.000000,0.088889,2.962963,4.983522,4.666667,4.222222,1,other_conv,43,0.400000,0.226667,0.047619,2.800855,9.849451,13.684850,0.305202,8,4,6,3,4,8,7,4,3
3,isolated,5_2_6,infer,1.00,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,other_conv,13,0.026667,0.000000,0.009009,1.000000,1.675000,1.943063,0.090887,8,2,6,3,2,8,7,2,4
3,isolated,8_8_8,off,,0.000000,4.666667,5.528889,4.000000,5.891869,4.666667,2.666667,0,no_conv,,0.933333,0.933333,,26.351852,30.835017,32.236191,0.000000,8,1,6,3,6,8,7,5,4
3,isolated,8_8_8,hard,,0.222222,0.000000,0.000000,2.074074,3.933126,4.666667,1.555556,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,5
3,isolated,8_8_8,noisy,,0.222222,0.222222,0.026667,2.296296,4.110098,4.666667,2.000000,0,no_conv,,0.000000,0.000000,,0.000000,0.000000,5.302541,0.837686,8,7,5,3,8,8,7,8,5
3,isolated,8_8_8,infer,0.40,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,20,0.193333,0.146667,0.144444,2.250000,4.683333,8.924267,0.497557,8,8,6,3,8,8,7,8,4
3,isolated,8_8_8,infer,0.70,0.000000,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,3,0.066667,0.000000,0.042553,3.333333,11.333333,2.640539,0.089599,8,8,6,3,8,8,7,8,4
3,isolated,8_8_8,infer,1.00,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,3,0.020000,0.000000,0.007092,0.666667,0.666667,0.442033,0.018484,8,8,6,3,8,8,7,8,4
4,isolated,5_2_6,off,,0.000000,4.666667,4.275556,4.000000,5.891869,4.666667,2.666667,0,no_conv,,0.900000,0.800000,,37.222222,26.266667,31.084899,0.000000,8,1,6,3,6,8,7,5,4
4,isolated,5_2_6,hard,,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,0,6,3,0,8,7,0,4
4,isolated,5_2_6,noisy,,0.222222,0.000000,0.017778,2.074074,4.063375,4.666667,1.555556,1,S=0,44,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,8,0,5,3,0,8,7,0,7
4,isolated,5_2_6,infer,0.40,0.666667,0.000000,0.053333,2.074074,3.933126,4.666667,1.555556,1,S=0,36,0.700000,0.706667,0.619048,4.854497,11.689886,23.482755,0.787140,8,0,6,3,0,8,7,0,5
4,isolated,5_2_6,infer,0.70,0.666667,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,16,0.373333,0.013333,0.186275,4.666667,8.168398,12.247283,0.330753,8,0,6,3,0,8,7,0,4
4,isolated,5_2_6,infer,1.00,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,other_conv,7,0.006667,0.000000,0.000000,0.333333,0.166667,0.948489,0.049298,8,2,6,3,2,8,7,2,4
4,isolated,8_8_8,off,,0.000000,4.666667,5.102222,4.000000,5.891869,4.666667,2.666667,0,no_conv,,0.920000,0.960000,,26.133333,30.375926,31.775674,0.000000,8,1,6,3,6,8,7,5,4
4,isolated,8_8_8,hard,,0.222222,0.000000,0.000000,2.074074,3.933126,4.666667,1.555556,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,5
4,isolated,8_8_8,noisy,,0.000000,0.000000,0.008889,2.518519,3.887301,5.555556,2.000000,1,S=8,31,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,8,8,5,3,8,8,8,8,5
4,isolated,8_8_8,infer,0.40,0.222222,0.000000,0.000000,2.074074,3.933126,4.666667,1.555556,1,S=8,6,0.340000,0.200000,0.318182,9.333333,3.833333,12.365886,0.524005,8,8,6,3,8,8,7,8,5
4,isolated,8_8_8,infer,0.70,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,2,0.020000,0.000000,0.000000,1.000000,0.250000,1.287745,0.083016,8,8,6,3,8,8,7,8,4
4,isolated,8_8_8,infer,1.00,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,3,0.020000,0.000000,0.007092,0.666667,0.666667,0.442033,0.018484,8,8,6,3,8,8,7,8,4
5,isolated,5_2_6,off,,0.000000,4.666667,4.275556,4.000000,5.891869,4.666667,2.666667,0,no_conv,,0.900000,0.800000,,37.222222,26.266667,31.084899,0.000000,8,1,6,3,6,8,7,5,4
5,isolated,5_2_6,hard,,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,0,6,3,0,8,7,0,4
5,isolated,5_2_6,noisy,,0.888889,0.000000,0.053333,2.962963,4.823381,4.666667,4.222222,1,S=0,47,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,8,0,5,3,0,8,7,0,3
5,isolated,5_2_6,infer,0.40,0.222222,0.000000,0.008889,2.962963,4.983522,4.666667,4.222222,1,S=0,28,0.506667,0.293333,0.257576,5.355556,12.375000,17.513073,0.689168,8,0,6,3,0,8,7,0,3
5,isolated,5_2_6,infer,0.70,0.888889,0.000000,0.017778,2.074074,3.933126,4.666667,1.555556,1,S=0,27,0.513333,0.386667,0.362319,5.577778,11.060185,18.042097,0.253651,8,0,6,3,0,8,7,0,5
5,isolated,5_2_6,infer,1.00,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,15,0.013333,0.000000,0.000000,0.666667,0.130952,2.197458,0.105127,8,0,6,3,0,8,7,0,4
5,isolated,8_8_8,off,,0.000000,4.666667,4.844444,4.000000,5.891869,4.666667,2.666667,0,no_conv,,0.873333,0.920000,,27.500000,32.111111,30.163865,0.000000,8,1,6,3,6,8,7,5,4
5,isolated,8_8_8,hard,,0.222222,0.000000,0.000000,2.074074,3.933126,4.666667,1.555556,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,5
5,isolated,8_8_8,noisy,,0.222222,0.000000,0.017778,2.962963,4.823381,4.666667,4.222222,1,S=8,35,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,8,8,5,3,8,8,7,8,3
5,isolated,8_8_8,infer,0.40,0.222222,0.000000,0.008889,2.444444,4.426029,4.666667,2.666667,1,S=8,26,0.460000,0.346667,0.333333,9.107143,13.466667,15.873564,0.553531,8,8,6,3,8,8,7,8,4
5,isolated,8_8_8,infer,0.70,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,6,0.106667,0.000000,0.045455,2.833333,6.500000,3.913747,0.127256,8,8,6,3,8,8,7,8,4
5,isolated,8_8_8,infer,1.00,0.222222,0.000000,0.000000,2.074074,3.933126,4.666667,1.555556,1,S=8,3,0.020000,0.000000,0.007092,0.666667,0.666667,0.442033,0.018484,8,8,6,3,8,8,7,8,5
6,isolated,5_2_6,off,,0.000000,4.666667,3.697778,4.000000,5.891869,4.666667,2.666667,0,no_conv,,1.000000,1.000000,,50.000000,30.233333,34.538776,0.000000,8,1,6,3,6,8,7,5,4
6,isolated,5_2_6,hard,,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,0,6,3,0,8,7,0,4
6,isolated,5_2_6,noisy,,0.222222,0.000000,0.035556,3.629630,5.573124,4.666667,6.222222,1,S=0,45,0.000000,0.000000,0.000000,0.000000,0.000000,5.302541,0.837686,8,0,6,3,0,8,7,0,2
6,isolated,5_2_6,infer,0.40,0.888889,0.000000,0.026667,2.074074,4.063375,4.666667,1.555556,1,S=0,38,0.846667,0.893333,0.916667,8.824074,10.094444,25.262826,0.835114,8,0,5,3,0,8,7,0,7
6,isolated,5_2_6,infer,0.70,0.888889,0.000000,0.142222,2.962963,4.983522,4.666667,4.222222,1,S=0,43,0.633333,0.666667,0.666667,4.856085,8.319048,21.573272,0.329880,8,0,6,3,0,8,7,0,3
6,isolated,5_2_6,infer,1.00,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,other_conv,3,0.013333,0.000000,0.014184,0.666667,5.277778,0.948489,0.049298,8,2,6,3,2,8,7,2,4
6,isolated,8_8_8,off,,0.000000,4.666667,4.915556,4.000000,5.891869,4.666667,2.666667,0,no_conv,,0.906667,0.933333,,26.888889,32.176190,31.315157,0.000000,8,1,6,3,6,8,7,5,4
6,isolated,8_8_8,hard,,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,8,6,3,8,8,7,8,4
6,isolated,8_8_8,noisy,,0.222222,0.222222,0.035556,2.518519,4.485952,4.666667,2.666667,0,no_conv,,0.000000,0.000000,,0.000000,0.000000,5.302541,0.837686,8,8,6,3,7,8,7,8,4
6,isolated,8_8_8,infer,0.40,0.222222,0.000000,0.008889,3.111111,5.208416,4.666667,4.666667,1,S=8,31,0.480000,0.386667,0.298246,4.433333,14.761905,18.515988,0.698361,8,8,7,3,8,8,7,8,3
6,isolated,8_8_8,infer,0.70,0.222222,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=8,2,0.026667,0.000000,0.006944,1.333333,1.250000,1.324161,0.081168,8,8,6,3,8,8,7,8,4
6,isolated,8_8_8,infer,1.00,0.222222,0.000000,0.000000,2.074074,3.933126,4.666667,1.555556,1,S=8,3,0.020000,0.000000,0.007092,0.666667,0.666667,0.442033,0.018484,8,8,6,3,8,8,7,8,5
7,isolated,5_2_6,off,,0.000000,4.666667,4.275556,4.000000,5.891869,4.666667,2.666667,0,no_conv,,0.900000,0.800000,,37.222222,26.266667,31.084899,0.000000,8,1,6,3,6,8,7,5,4
7,isolated,5_2_6,hard,,0.888889,0.000000,0.000000,2.444444,4.426029,4.666667,2.666667,1,S=0,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,0,6,3,0,8,7,0,4
