seed,env_mode,env_init,mechanism,sym_var_init,sym_var_final,sym_var_second_half_mean,collective_var_init,collective_var_final,collective_var_second_half_mean,pairwise_dist_init,pairwise_dist_final,pairwise_dist_second_half_mean,real_var_final,imag_var_final,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged,attractor
2,isolated,8_8_8,soft,0.222222,0.000000,0.000000,0.074074,2.444444,2.085926,0.666667,4.426029,3.947436,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
2,isolated,8_8_8,delayed,0.222222,0.000000,0.000000,0.074074,2.444444,2.444444,0.666667,4.426029,4.426029,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
2,isolated,8_8_8,noisy,0.222222,0.000000,0.053333,0.074074,1.851852,2.500741,0.666667,3.902735,4.500930,2.888889,2.666667,8,8,6,4,8,8,7,8,4,1,S=8
3,shared,5_2_6,off,0.000000,0.222222,0.266667,0.074074,0.148148,0.278519,0.666667,1.138071,1.384028,0.000000,0.222222,6,5,7,6,6,8,6,6,7,0,no_conv
3,shared,5_2_6,hard,0.666667,0.000000,0.000000,0.296296,0.000000,0.121481,1.550094,0.000000,0.677261,0.000000,0.000000,7,0,8,7,0,8,7,0,8,1,S=0
3,shared,5_2_6,soft,0.222222,0.000000,0.000000,0.148148,0.074074,0.168889,0.942809,0.666667,0.821132,0.000000,0.222222,6,0,7,6,0,8,6,0,7,1,S=0
3,shared,5_2_6,delayed,0.666667,0.000000,0.000000,0.296296,0.074074,0.124444,1.550094,0.666667,0.710879,0.000000,0.222222,6,0,6,6,0,7,6,0,6,1,S=0
3,shared,5_2_6,noisy,0.666667,0.222222,0.026667,0.296296,0.666667,0.228148,1.550094,2.322302,1.211386,1.555556,0.222222,8,1,8,6,0,8,5,0,7,0,no_conv
3,shared,8_8_8,off,0.000000,0.000000,0.257778,0.000000,0.074074,0.284444,0.000000,0.666667,1.414771,0.000000,0.222222,5,3,7,5,3,8,5,3,8,1,other_conv
3,shared,8_8_8,hard,0.222222,0.000000,0.000000,0.074074,0.000000,0.118519,0.666667,0.000000,0.666900,0.000000,0.000000,6,8,8,6,8,8,6,8,8,1,S=8
3,shared,8_8_8,soft,0.222222,0.000000,0.000000,0.074074,0.074074,0.106667,0.666667,0.666667,0.602667,0.000000,0.222222,6,8,7,6,8,8,6,8,7,1,S=8
3,shared,8_8_8,delayed,0.666667,0.000000,0.000000,0.222222,0.074074,0.127407,1.333333,0.666667,0.747556,0.000000,0.222222,7,8,7,7,8,8,7,8,7,1,S=8
3,shared,8_8_8,noisy,0.222222,0.222222,0.044444,0.074074,0.148148,0.216296,0.666667,1.138071,1.227968,0.222222,0.000000,8,7,8,7,8,8,8,8,8,0,no_conv
3,isolated,5_2_6,off,0.000000,4.666667,4.275556,0.074074,4.000000,3.792593,0.666667,5.891869,5.748211,4.666667,2.666667,8,1,6,3,6,8,7,5,4,0,no_conv
3,isolated,5_2_6,hard,0.888889,0.000000,0.000000,0.370370,2.444444,2.296296,1.745356,4.426029,4.228868,4.666667,2.666667,8,0,6,3,0,8,7,0,4,1,S=0
