seed,env_init,schedule,observer,converged,attractor,time_to_sync,sym_var_final,misID_snap,misID_half,misID_post,nll_half,brier_half,switch_rate,acf1,acf2,acf5,mis_acf1,turning_rate,period2_score,spec_peak_freq,spec_peak_share,final_S_A,final_S_B,final_S_C
24,5_2_6,sync,leaky,1,S=0,48,0.000000,0.646667,0.706667,0.666667,1.562028,0.775666,0.312925,0.731824,0.597417,0.217240,0.228948,0.118056,0.118056,0.033333,0.220647,0,0,0
25,5_2_6,sync,leaky,0,no_conv,,0.222222,0.340000,0.120000,,0.531195,0.249604,0.217687,0.429714,0.404686,0.038702,0.420929,0.090278,0.090278,0.086667,0.134248,0,1,0
26,5_2_6,sync,leaky,1,S=0,45,0.000000,0.620000,0.573333,0.200000,1.185789,0.624746,0.346939,0.535865,0.376681,0.187599,0.160016,0.131944,0.125000,0.046667,0.225249,0,0,0
27,5_2_6,sync,leaky,1,S=0,48,0.000000,0.246667,0.186667,0.166667,0.682794,0.327769,0.231293,0.523590,0.362499,0.337628,0.391587,0.090278,0.076389,0.053333,0.158161,0,0,0
28,5_2_6,sync,leaky,1,S=0,49,0.000000,0.433333,0.160000,0.000000,0.677348,0.291667,0.380952,0.843660,0.756581,0.582299,0.391667,0.125000,0.118056,0.020000,0.536274,0,0,0
29,5_2_6,sync,leaky,0,no_conv,,0.666667,0.653333,0.640000,,1.463673,0.732013,0.571429,0.636187,0.556557,0.214865,-0.033656,0.270833,0.263889,0.033333,0.308709,2,0,1
30,5_2_6,sync,leaky,0,no_conv,,0.222222,0.493333,0.546667,,1.495819,0.678896,0.455782,0.556596,0.387177,0.191497,0.271696,0.180556,0.180556,0.020000,0.211044,0,1,0
31,5_2_6,sync,leaky,1,S=0,49,0.000000,0.286667,0.280000,0.333333,0.826502,0.425804,0.272109,0.516366,0.543711,0.186415,0.171111,0.125000,0.118056,0.186667,0.157226,0,0,0
32,5_2_6,sync,leaky,1,S=0,48,0.000000,0.500000,0.426667,0.333333,1.008765,0.513586,0.414966,0.705216,0.679663,0.361465,0.282136,0.180556,0.166667,0.033333,0.296885,0,0,0
33,5_2_6,sync,leaky,1,S=0,48,0.000000,0.460000,0.466667,0.000000,1.104390,0.564494,0.292517,0.705699,0.544242,0.389324,0.307813,0.118056,0.111111,0.046667,0.349355,0,0,0
34,5_2_6,sync,leaky,1,S=0,42,0.000000,0.320000,0.200000,0.000000,0.825120,0.393082,0.251701,0.691538,0.434502,0.228595,0.319333,0.111111,0.104167,0.073333,0.199882,0,0,0
35,5_2_6,sync,leaky,0,no_conv,,0.666667,0.526667,0.440000,,1.274181,0.607208,0.387755,0.548511,0.453882,0.201444,0.274453,0.145833,0.138889,0.040000,0.230348,0,2,1
36,5_2_6,sync,leaky,1,S=0,48,0.000000,0.420000,0.240000,0.166667,0.796279,0.385137,0.285714,0.646311,0.423980,0.351545,0.370418,0.069444,0.062500,0.053333,0.297163,0,0,0
37,5_2_6,sync,leaky,0,no_conv,,0.222222,0.573333,0.413333,,1.110932,0.557836,0.414966,0.701883,0.497089,0.269818,0.336915,0.111111,0.111111,0.033333,0.271343,1,0,0
38,5_2_6,sync,leaky,0,no_conv,,0.222222,0.500000,0.573333,,1.447758,0.668723,0.306122,0.631154,0.473243,0.415656,0.268341,0.125000,0.125000,0.026667,0.266220,1,1,0
39,5_2_6,sync,leaky,1,S=0,39,0.000000,0.593333,0.480000,0.242424,1.181395,0.596884,0.408163,0.748968,0.575606,0.324404,0.308318,0.138889,0.131944,0.026667,0.347523,0,0,0
40,5_2_6,sync,leaky,0,no_conv,,0.888889,0.613333,0.493333,,1.230038,0.608527,0.489796,0.740099,0.667887,0.606938,0.222368,0.201389,0.194444,0.020000,0.557503,2,0,0
41,5_2_6,sync,leaky,0,no_conv,,0.222222,0.566667,0.560000,,1.318686,0.676101,0.421769,0.584533,0.412992,0.145572,0.184132,0.145833,0.138889,0.040000,0.216803,1,0,0
42,5_2_6,sync,leaky,1,S=0,46,0.000000,0.486667,0.440000,0.000000,1.164860,0.577411,0.353741,0.549618,0.385715,0.239272,0.158557,0.125000,0.111111,0.033333,0.182870,0,0,0
43,5_2_6,sync,leaky,1,S=0,44,0.000000,0.660000,0.653333,0.444444,1.612332,0.748854,0.346939,0.604425,0.361757,-0.011960,0.121206,0.104167,0.104167,0.060000,0.267993,0,0,0
44,5_2_6,sync,leaky,1,S=0,48,0.000000,0.586667,0.493333,0.000000,1.329825,0.612213,0.442177,0.604574,0.397921,0.070813,0.195811,0.187500,0.180556,0.046667,0.164604,0,0,0
45,5_2_6,sync,leaky,0,no_conv,,0.222222,0.353333,0.213333,,0.755749,0.349740,0.285714,0.543019,0.307895,0.267314,0.324166,0.104167,0.097222,0.026667,0.237584,0,1,0
